07 46 58 -20 50 37 37954 7.34 -0.400
10 44 35 -60 01 09 52526 6.32 -0.310
03 25 58 +45 31 58 15972 7.50 -0.300
06 06 17 +12 28 43 28894 7.70 -0.300
09 38 09 -00 20 31 47252 7.87 -0.300
21 11 13 +09 34 10 104570 7.44 -0.300
21 31 42 -19 12 57 106264 7.15 -0.300
05 46 11 -32 18 18 27204 5.18 -0.274
08 03 46 -40 01 01 39429 2.21 -0.269 Zeta Pup
05 32 10 -07 17 54 25923 4.62 -0.261
05 35 17 -05 59 56 26199 4.78 -0.248
08 05 03 +06 10 19 39540 7.85 -0.248
06 32 03 -23 25 20 31125 4.34 -0.245
12 26 52 -63 07 35 60718 0.77 -0.243 Acrux
05 24 43 -02 23 35 25281 3.35 -0.240
06 22 54 -17 57 31 30324 1.98 -0.240
12 48 00 -59 42 56 62434 1.25 -0.238
00 41 27 +39 37 51 3237 7.99 -0.236
05 19 48 -13 10 18 24845 4.29 -0.235
13 25 27 -11 11 12 65474 0.98 -0.235
07 13 47 -27 21 54 34924 6.12
06 41 15 +09 53 27 31978 4.66
06 15 24 +13 50 58 29678 5.91
14 04 09 -60 23 47 68702 0.61
17 33 56 -37 06 26 85927 1.62
05 13 44 -31 53 56 24355 7.50
06 10 23 -54 58 11 29276 4.72
05 35 15 -06 00 22 26197 5.67
07 53 12 -49 37 33 38500 4.63
10 48 40 +37 32 40 52849 7.03
15 21 41 -40 39 54 75141 3.22
13 49 47 -41 42 43 67464 3.41
05 25 23 +06 21 14 25336 1.64
13 58 33 -42 07 28 68245 3.83
10 43 08 -64 25 13 52419 2.74
05 23 43 -13 55 22 25202 5.25
09 11 44 -46 36 14 45122 5.78
05 38 52 -06 34 17 26535 5.96
15 35 27 -41 10 58 76297 2.80
07 37 22 +16 53 35 37074 6.94
02 39 43 +00 20 58 12387 4.08
05 36 50 -06 03 43 26345 5.71
06 53 45 -20 13 49 33092 4.82
06 58 50 -28 58 45 33579 1.50
04 36 33 -03 20 34 21444 3.93
05 35 40 -05 54 25 26241 2.75
05 37 41 -05 56 08 26427 6.03
11 16 26 -03 29 55 55051 7.40
16 52 39 -38 01 32 82545 3.56
05 23 56 -00 09 19 25223 5.69
13 58 59 -44 49 38 68282 3.87
14 59 29 -42 07 24 73334 3.13
22 39 29 +39 04 33 111841 4.89
16 00 26 -38 24 37 78384 3.42
16 36 11 -28 13 33 81266 2.82
21 01 21 +46 10 30 103732 5.38
08 50 43 -46 32 51 43413 5.09
02 23 12 +41 30 07 11099 7.46
04 29 20 -13 02 16 20922 5.61
04 57 58 -14 13 28 23060 6.15
06 12 06 -06 33 06 29417 5.06
21 28 43 +70 34 56 106032 3.23
